Feature ID	Taxon	Consensus
31695ba058d80a39c467932133985a58	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita_sp;sh__SH1876532.09FU	1.0
317d4b2b5d46af18c9afcc2a596eb86c	Unassigned	1.0
31892328716b82b0ac6b11fc759675a8	Unassigned	1.0
323c607cf2683c9ae95697fe131a9fbc	Unassigned	1.0
32dfad07628fccf750a438be21e18b5d	Unassigned	1.0
32e105717e94d1e63ace35265f384949	Unassigned	1.0
32f124be5781f7d7b0470a040ab0c246	Unassigned	1.0
33e5a6f53ff2fe09c53568948d79bad1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Boletaceae;g__Rossbeevera;s__Rossbeevera_sp;sh__SH1639932.09FU	1.0
347423dc31c3cdaafd179dcee896db39	Unassigned	1.0
348ad6f2766603fd8baae75d71f33f81	Unassigned	1.0
3499df48e01f20b0bae2b5ebe93c38fa	Unassigned	1.0
349c575c6e2d44ffacb98c83393bdd65	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Hydnodontaceae_gen_Incertae_sedis;s__Hydnodontaceae_sp;sh__SH1376333.09FU	1.0
350e43abd7a5ee42034351181f30c549	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_sp;sh__SH1657803.09FU	1.0
354967c2385f6591e84cc908f6404b17	Unassigned	1.0
35658dc29bbbe73130ff436f850e93bc	Unassigned	1.0
3585ee4f4d5f48fe5e993ec8a350f081	Unassigned	1.0
35f3ba7198b64171ce7545ad719b72bf	k__Metazoa;p__Rotifera;c__Eurotatoria;o__Ploima;f__Euchlanidae;g__Euchlanis;s__Euchlanis_sp;sh__SH1829345.09FU	1.0
365340d7686b2261028ce6bdb49925e8	Unassigned	1.0
3674ebff91a5500c1aae5d7a4704d090	Unassigned	1.0
36a4af1e643302ec992e1f5cbc60ce8e	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metapochonia;s__Metapochonia_bulbillosa;sh__SH1749302.09FU	1.0
36d57d5f45b805702151ed9171020dd7	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Boletaceae;g__Ionosporus;s__Ionosporus_australis;sh__SH1820734.09FU	1.0
36ee9ca106fd49cadea82c989975cc62	k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis;o__Cercozoa_ord_Incertae_sedis;f__Cercozoa_fam_Incertae_sedis;g__Cercozoa_gen_Incertae_sedis;s__Cercozoa_sp;sh__SH1574642.09FU	1.0
36fef97480ba5502c65fe6524c2dbfa0	Unassigned	1.0
38058ae78e3a1fa591b2f749491587f8	Unassigned	1.0
38f784d747e017ac3bceaf2ecbddbb0b	Unassigned	1.0
38fe10e4b39b16578c7ac5ca0c0a158c	Unassigned	1.0
3908f57b2d9dbe97f1a77c690090bea6	k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis;o__Cercozoa_ord_Incertae_sedis;f__Cercozoa_fam_Incertae_sedis;g__Cercozoa_gen_Incertae_sedis;s__Cercozoa_sp;sh__SH1752358.09FU	1.0
39516c82c9264766b3d836c9be0faa14	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Capronia;s__Capronia_sp;sh__SH1395363.09FU	1.0
399308b69018be838e187545d155ebe9	Unassigned	1.0
3bc817d07579cf014efca76c02f1d55d	Unassigned	1.0
3bc9b921ab03fb1b7381727fc25b726c	Unassigned	1.0
3bff68ae38feecd2c59a7110e8ba8ab5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Pleurotaceae;g__Pleurotus;s__Pleurotus_ostreatus;sh__SH2065513.09FU	1.0
3c3aa1efb8dfc569b554713b4577d8a3	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;s__Oidiodendron_sp;sh__SH1510058.09FU	1.0
3ce61f88093d7f73557a382118eea7e8	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;s__Oidiodendron_sp	0.821
3d5ee1c4829cd962ae2b8a0b055a9803	Unassigned	1.0
3d7e264c09280bdb2b1ae4d8020ce84f	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;s__Oidiodendron_sp;sh__SH1510297.09FU	1.0
3dada0a4896c4cfe0e23390f27cd582d	Unassigned	1.0
3ef1ff2bcf6e3b8734b53acb0ee0cb91	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__Cortinarius_sp;sh__SH1808994.09FU	1.0
406cc510276dfd1a5b613ed0b8c67419	Unassigned	1.0
40aa0ef7111b1517a03999ba001bf38e	Unassigned	1.0
40d941a05b49f45ea58bbef8bb512574	Unassigned	1.0
410a89be83b56fe75324467af20e22a9	Unassigned	1.0
413a9f8507308d0ce45f86adc7dd454e	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Cunninghamellaceae;g__Cunninghamellaceae_gen_Incertae_sedis;s__Cunninghamellaceae_sp;sh__SH2090879.09FU	1.0
41416c518815c3093615b707c442bcac	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Boletaceae;g__Rossbeevera;s__Rossbeevera_sp;sh__SH1639932.09FU	1.0
