#id	length	GC	avg.qual	sample
m84073_231201_024147_s2/241504002/ccs	666	43.69	38.87	5E_control
m84073_231201_024147_s2/241504179/ccs	465	46.24	39.98	5E_control
m84073_231201_024147_s2/264048795/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/247205023/ccs	661	43.72	29.28	5E_control
m84073_231201_024147_s2/264049761/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/252711697/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/258413027/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/252711154/ccs	482	48.34	40.00	5E_control
m84073_231201_024147_s2/247141158/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/258413014/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/252712232/ccs	663	43.74	30.51	5E_control
m84073_231201_024147_s2/258477800/ccs	482	48.13	38.46	5E_control
m84073_231201_024147_s2/235804499/ccs	482	48.55	39.98	5E_control
m84073_231201_024147_s2/252776037/ccs	482	48.55	34.89	5E_control
m84073_231201_024147_s2/252776048/ccs	665	43.61	30.69	5E_control
m84073_231201_024147_s2/252775986/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/252711620/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/235867332/ccs	671	43.96	30.00	5E_control
m84073_231201_024147_s2/258413617/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/252775647/ccs	482	48.34	40.00	5E_control
m84073_231201_024147_s2/235869047/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/235869033/ccs	663	44.04	40.00	5E_control
m84073_231201_024147_s2/235868309/ccs	480	48.33	39.83	5E_control
m84073_231201_024147_s2/241568830/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/241505845/ccs	482	48.34	40.00	5E_control
m84073_231201_024147_s2/252841732/ccs	663	44.04	40.00	5E_control
m84073_231201_024147_s2/264113996/ccs	666	43.69	40.00	5E_control
m84073_231201_024147_s2/264114304/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/235932960/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/264115239/ccs	467	45.82	40.00	5E_control
m84073_231201_024147_s2/258479323/ccs	484	48.35	38.21	5E_control
m84073_231201_024147_s2/258478574/ccs	667	43.93	30.70	5E_control
m84073_231201_024147_s2/258478894/ccs	665	43.61	26.63	5E_control
m84073_231201_024147_s2/252843096/ccs	474	47.89	28.95	5E_control
m84073_231201_024147_s2/264179133/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/264180460/ccs	481	48.02	24.37	5E_control
m84073_231201_024147_s2/235934577/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/241571441/ccs	482	48.55	27.25	5E_control
