#id	length	GC	avg.qual	sample
m84073_231201_024147_s2/242880697/ccs	355	51.55	39.28	5A
m84073_231201_024147_s2/237374488/ccs	623	56.98	38.67	5A
m84073_231201_024147_s2/242945286/ccs	563	46.54	40.00	5A
m84073_231201_024147_s2/237375129/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/260051211/ccs	346	40.46	40.00	5A
m84073_231201_024147_s2/237377355/ccs	156	44.23	40.00	5A
m84073_231201_024147_s2/237440750/ccs	77	40.26	40.00	5A
m84073_231201_024147_s2/243011488/ccs	635	58.90	39.97	5A
m84073_231201_024147_s2/237377048/ccs	117	44.44	40.00	5A
m84073_231201_024147_s2/243011261/ccs	346	40.46	39.77	5A
m84073_231201_024147_s2/237506136/ccs	436	51.15	40.00	5A
m84073_231201_024147_s2/237507696/ccs	959	51.62	40.00	5A
m84073_231201_024147_s2/237506541/ccs	410	46.83	34.64	5A
m84073_231201_024147_s2/243012217/ccs	623	56.98	40.00	5A
m84073_231201_024147_s2/260181602/ccs	741	57.35	40.00	5A
m84073_231201_024147_s2/254872626/ccs	7	42.86	40.00	5A
m84073_231201_024147_s2/260181010/ccs	742	57.14	27.04	5A
m84073_231201_024147_s2/237573151/ccs	431	58.00	40.00	5A
m84073_231201_024147_s2/237572195/ccs	307	55.70	40.00	5A
m84073_231201_024147_s2/243077671/ccs	623	56.98	40.00	5A
m84073_231201_024147_s2/254808286/ccs	337	54.90	40.00	5A
m84073_231201_024147_s2/243077186/ccs	355	51.55	39.95	5A
m84073_231201_024147_s2/254872749/ccs	431	58.00	40.00	5A
m84073_231201_024147_s2/254808740/ccs	867	44.98	40.00	5A
m84073_231201_024147_s2/249106740/ccs	663	49.62	40.00	5A
m84073_231201_024147_s2/249106507/ccs	741	57.35	40.00	5A
