#id	length	GC	avg.qual	sample
m84073_231201_024147_s2/253431899/ccs	330	44.55	40.00	5B
m84073_231201_024147_s2/247861430/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/264835237/ccs	954	38.68	34.54	5B
m84073_231201_024147_s2/242029961/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/236328348/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/264770711/ccs	949	38.78	39.98	5B
m84073_231201_024147_s2/242158771/ccs	349	42.12	31.12	5B
m84073_231201_024147_s2/264899814/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/259199834/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/242095673/ccs	950	38.74	40.00	5B
m84073_231201_024147_s2/236393944/ccs	949	38.88	39.99	5B
m84073_231201_024147_s2/259200154/ccs	330	44.24	40.00	5B
m84073_231201_024147_s2/236394350/ccs	350	42.29	27.27	5B
m84073_231201_024147_s2/236393991/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/253563406/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/264965259/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/236459357/ccs	330	44.55	39.97	5B
m84073_231201_024147_s2/236458153/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/259330721/ccs	949	38.78	31.22	5B
m84073_231201_024147_s2/253629662/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/253692946/ccs	950	38.84	31.35	5B
m84073_231201_024147_s2/247993094/ccs	145	43.45	40.00	5B
m84073_231201_024147_s2/259330427/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/236524274/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/248057062/ccs	330	44.24	40.00	5B
m84073_231201_024147_s2/259395028/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/248122763/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/253694328/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/242225083/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/248123123/ccs	949	38.78	32.02	5B
m84073_231201_024147_s2/242290639/ccs	949	38.78	36.88	5B
m84073_231201_024147_s2/265032879/ccs	330	44.55	40.00	5B
m84073_231201_024147_s2/242290018/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/248189263/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/248187956/ccs	349	42.12	40.00	5B
m84073_231201_024147_s2/248125120/ccs	949	38.88	39.99	5B
m84073_231201_024147_s2/265098490/ccs	349	42.69	39.97	5B
m84073_231201_024147_s2/248187925/ccs	948	38.82	39.09	5B
m84073_231201_024147_s2/265098543/ccs	977	53.33	40.00	5B
m84073_231201_024147_s2/236719325/ccs	330	44.55	40.00	5B
m84073_231201_024147_s2/236719291/ccs	949	38.88	26.89	5B
m84073_231201_024147_s2/248189531/ccs	949	38.88	39.99	5B
m84073_231201_024147_s2/242421794/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/236720599/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/242357151/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/248255248/ccs	948	38.92	40.00	5B
m84073_231201_024147_s2/253826091/ccs	350	42.57	40.00	5B
m84073_231201_024147_s2/253826216/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/259527098/ccs	349	42.41	23.94	5B
m84073_231201_024147_s2/248319407/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/253891512/ccs	952	38.87	30.77	5B
m84073_231201_024147_s2/236786848/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/242486543/ccs	951	38.91	40.00	5B
m84073_231201_024147_s2/236787000/ccs	350	42.86	40.00	5B
m84073_231201_024147_s2/248320400/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/242488358/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/265293000/ccs	949	38.78	38.81	5B
m84073_231201_024147_s2/236852215/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/259527679/ccs	330	44.24	40.00	5B
m84073_231201_024147_s2/236851131/ccs	953	38.72	31.97	5B
m84073_231201_024147_s2/259592467/ccs	145	43.45	40.00	5B
m84073_231201_024147_s2/254021500/ccs	950	38.74	40.00	5B
m84073_231201_024147_s2/254086635/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/236852395/ccs	350	42.29	26.53	5B
